geo,drift,sigma,ma1,sma1,sma2,ma2,ar1,sar1,sar2,ar2,ma3,ar3,ar4
AT,0.012404692000113893,0.010812635650073864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,0.01305590931825186,0.030185732304025104,-0.445048639619343,-0.32227174519108004,-0.15609847291371917,NA,NA,NA,NA,NA,NA,NA,NA
BG,0.013100372835336384,0.020442270724649037,-0.14192305501206545,-0.12110765018961639,-0.11368705107031005,NA,NA,NA,NA,NA,NA,NA,NA
CY,NA,0.062403543431373866,-0.22958368505144086,NA,NA,-0.174202792163115,NA,NA,NA,NA,NA,NA,NA
CZ,0.012437480203149165,0.026241425841466503,NA,-0.16005489993360866,NA,NA,NA,NA,NA,NA,NA,NA,NA
DK,NA,0.12149728132610402,-1.513919846384347,-0.12948933985551309,NA,0.5981398494764312,0.9238742491154692,NA,NA,NA,NA,NA,NA
EE,0.01165461736644179,0.011877523592102042,-0.20117831287014282,-0.15912161974077543,-0.1532243332014652,NA,NA,NA,NA,NA,NA,NA,NA
EL,-0.006544233032328255,0.030218688664029054,-0.5280193357620593,-0.14503275831705156,NA,NA,NA,NA,NA,NA,NA,NA,NA
ES,NA,0.02516674954087435,0.18350344767712856,-0.08835477980540832,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,0.010064582290882633,0.042498979691470554,-0.33703415559371946,-0.15594005809551517,-0.17748975412745632,NA,NA,NA,NA,NA,NA,NA,NA
FR,NA,0.06894339021845178,-0.06574233852307414,-0.08779631933330968,-0.1003431249526056,-0.23396939827031732,NA,NA,NA,NA,NA,NA,NA
HR,0.008831490363858783,0.06192407427435927,-0.6411613220172062,NA,NA,NA,0.3117049891915069,-0.03950135853210906,NA,NA,NA,NA,NA
IT,NA,0.06223289306846933,0.05488790516107257,NA,NA,-0.2788749444059523,NA,NA,NA,NA,NA,NA,NA
LT,0.011194427781025376,0.023555044120319273,-0.2753021839096996,NA,NA,-0.17811614218586308,NA,0.05948053896316143,-0.04823797516163456,NA,NA,NA,NA
LV,0.01228808454006052,0.011294879655839926,-0.20850232840955876,-0.2939444255186286,-0.1888103994086499,NA,NA,NA,NA,NA,NA,NA,NA
MT,NA,0.29715265174077565,0.6441904982626606,-0.311737228592781,NA,0.41845054583907493,-1.0235465266878245,NA,NA,-0.8843945776829067,-0.2027269722677124,NA,NA
PL,0.01324919923019951,0.006701658875902644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT,NA,0.09250345113461593,-0.2824534688411471,NA,NA,-0.2720185356116351,0.06284389004028927,NA,NA,0.12102025233382097,NA,-0.005879804661588561,-0.2449873483099897
RO,0.009007540122194955,0.023214205362537075,-0.13286341733009574,-0.16770725063776523,NA,-0.20054130064014053,NA,NA,NA,NA,-0.12000805135770146,NA,NA
SE,NA,0.1326761644777832,-0.23108072430683607,-0.7915356343270161,-0.03020349503279636,NA,NA,0.6382754523733198,NA,NA,NA,NA,NA
SI,0.011273529678827787,0.04534631329119766,0.187909945746765,0.00994987552787909,-0.22899452716754448,-0.3928861796973012,-0.5511954131872011,NA,NA,NA,NA,NA,NA
SK,NA,0.019072829381712342,NA,-0.13255821560734551,NA,NA,NA,NA,NA,NA,NA,NA,NA
