geo,date,yhat
AT,2023-04-01,150.5
BE,2023-04-01,192
BG,2023-04-01,165.2
CY,2023-04-01,150.6
CZ,2023-04-01,146.2
DE,2023-04-01,148
DK,2023-04-01,187.3
EE,2023-04-01,170.7
EL,2023-04-01,131.7
ES,2023-04-01,152
FI,2023-04-01,140.2
FR,2023-04-01,152.9
HR,2023-04-01,148.3
HU,2023-04-01,261.8
IE,2023-04-01,NA
IT,2023-04-01,155.8
LT,2023-04-01,157.9
LU,2023-04-01,148.4
LV,2023-04-01,185.9
MT,2023-04-01,117.4
NL,2023-04-01,162
PL,2023-04-01,168.4
PT,2023-04-01,131.8
RO,2023-04-01,236.6
SI,2023-04-01,151.5
SK,2023-04-01,207.8
