geo,ar1,ar2,ma1,ma2,ma3,ma4,ma5,sigma,sma1,sar1,drift,ar3,sar2,sma2,ar4
AT,-0.6148933521804418,-0.7703819092459427,-0.016476445911363168,0.2884523112138637,-0.4809766219452486,-0.2186655745664209,0.15389885941141201,0.0027525212051729086,NA,NA,NA,NA,NA,NA,NA
BE,-0.8590757188821622,NA,0.15254172414762102,-0.7808435006560158,NA,NA,NA,0.004927338744362952,0.23727850176387486,NA,NA,NA,NA,NA,NA
CY,0.10185885803123104,0.575207387380351,NA,NA,NA,NA,NA,0.00384199216487777,-0.6768471254346763,0.8799813017654686,0.03111448579793855,NA,NA,NA,NA
CZ,1.2692759061882368,-0.1975614460114857,-0.8125580195729918,NA,NA,NA,NA,0.0012418996797819756,-1.1135358909225828,1.2301502002507145,NA,-0.13039745156951107,-0.4395376492588833,0.6185637978101819,NA
DE,-1.5042087740199737,-1.787977563607818,0.917104948111155,0.5264481998104792,NA,NA,NA,9.008910315549467e-4,0.23783180086413874,NA,NA,-1.220738715873829,NA,0.1354813052383984,-0.7076736132673562
DK,NA,NA,-0.8243828325041024,NA,NA,NA,NA,0.0062651599102912904,NA,NA,NA,NA,NA,NA,NA
EL,NA,NA,0.4444568071380443,0.10148031463818741,NA,NA,NA,0.00889738514992202,-0.236372099277359,NA,0.014494470188780608,NA,NA,-0.1571182598857299,NA
ES,-1.7485820783332242,-0.8927725806322027,1.0838827306507908,-0.4468669835803129,-0.7121633779411628,NA,NA,5.90416880059626e-4,NA,NA,NA,NA,NA,NA,NA
FI,-0.8608441294913671,NA,0.13254967035012774,-0.784036756844867,NA,NA,NA,0.003142171032367584,NA,NA,NA,NA,NA,NA,NA
FR,NA,NA,-0.730969977240865,NA,NA,NA,NA,0.0028666118666459957,0.3086677221242574,NA,NA,NA,NA,0.11733960602149765,NA
HR,NA,NA,-0.7029921786607708,-0.12402148948835537,NA,NA,NA,0.0032553268877816128,0.17584244073851857,NA,NA,NA,NA,NA,NA
HU,0.2370593041015645,-0.3009461977757776,-0.4899525569654014,NA,NA,NA,NA,0.0023023237496430844,NA,NA,NA,NA,NA,NA,NA
IT,NA,NA,-0.9446431841115297,0.1447657022435355,NA,NA,NA,0.007819881637432392,0.2849472903959863,NA,NA,NA,NA,0.2482097955156233,NA
LT,NA,NA,-0.7335858319847727,NA,NA,NA,NA,0.003394289832314082,NA,NA,NA,NA,NA,NA,NA
LU,NA,NA,0.04063631163648273,0.19265877578572016,0.25919592448076534,NA,NA,0.009145077294124474,NA,NA,0.01893091456006254,NA,NA,NA,NA
LV,-1.0377137219795645,-0.4709283638328534,NA,NA,NA,NA,NA,0.004334076519015134,0.2039385857861094,NA,NA,NA,NA,NA,NA
MT,NA,NA,NA,NA,NA,NA,NA,0.00638062460032331,NA,NA,0.011299859341138651,NA,NA,NA,NA
NL,NA,NA,-0.5996542325185515,-0.3395089159081721,0.1810441267797935,NA,NA,0.005470720379398121,NA,NA,NA,NA,NA,NA,NA
PL,NA,NA,-0.6694865552080214,-0.09287363038453555,NA,NA,NA,0.0018435187219583015,0.22694277260211884,NA,NA,NA,NA,NA,NA
PT,0.878052959852359,NA,-0.7210260459575889,NA,NA,NA,NA,0.007823897820163994,0.20523492320754688,NA,NA,NA,NA,NA,NA
RO,-0.10475960278908757,0.16037689190880194,-0.7451340334711932,NA,NA,NA,NA,0.002385907206779335,0.21098055306159805,NA,NA,-0.1958615661577733,NA,0.27481609379559546,NA
SE,-0.13472743193030218,-0.05769142285818023,-0.7882595043700313,NA,NA,NA,NA,0.0015319067372682445,0.017661856105651255,NA,NA,0.16584449137310936,NA,0.24690569012699384,-0.18986259350110643
SI,NA,NA,-0.643636537303264,-0.09638465785634104,NA,NA,NA,0.001406423348087502,0.2272509373711909,NA,NA,NA,NA,NA,NA
SK,0.7098760022880064,0.07188579272190665,-1.6219744938520277,0.8117133335752874,NA,NA,NA,0.011852580184100873,0.36824127694143305,NA,NA,-0.580203250001758,NA,0.23809357440305864,NA
