geo,ma1,sma1,sigma,ar1,ar2,ar3,ma2,drift,sar1,sma2,ma3,ma4,ma5,ar4,ar5
AT,-0.817161737099487,0.16533988157133292,0.004046696670039896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,-0.6826909605805939,NA,0.004773059764632595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BG,1.4864253494698494,-0.2055919084308656,0.008387243652013108,-0.8246468683279486,-0.5323103618662097,0.16389172233199883,0.8125029713423125,0.015030544884260442,NA,NA,NA,NA,NA,NA,NA
CY,NA,0.3498273507049668,0.004241319132593353,0.11849015455764553,0.4769583960829583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZ,-0.2700473726775148,-0.49248303038448876,0.0014357896830982405,0.6243665845533051,0.07997716805156257,NA,NA,0.022707634944895534,0.8688626896930167,0.0827195075798789,NA,NA,NA,NA,NA
DE,-0.13462649333555463,NA,0.0015805132261148963,0.8949191179150219,NA,NA,-0.5419526601708847,0.009742908647365827,NA,NA,NA,NA,NA,NA,NA
DK,-0.6666520753331365,NA,0.006088962761922663,NA,NA,NA,-0.27120573422302335,NA,NA,NA,0.2115580446867699,NA,NA,NA,NA
EE,-0.3215019026077725,NA,0.006360697700924063,-0.6676304709003793,NA,NA,-0.6070543306854029,NA,NA,NA,0.35941780154093994,NA,NA,NA,NA
EL,0.08692628061766558,-0.16824922159495145,0.011634867918839017,NA,NA,NA,0.19789817306117227,0.014211264644783981,NA,-0.20546960476784498,NA,NA,NA,NA,NA
ES,0.537087607393411,NA,6.999265300645546e-4,-0.12521559523607204,0.30453827824428226,0.2625176224422391,NA,0.00827351354592767,NA,NA,NA,NA,NA,NA,NA
FI,0.3026189429771247,0.14808408294309724,0.0031786888466998012,-0.024147418764240168,0.6773509520712423,NA,-0.4929249938882091,NA,NA,0.14422373900116373,0.13245648669755042,NA,NA,NA,NA
FR,-0.6816987318323334,0.31408752064665885,0.002470496747953897,0.049271611703517626,-0.7964505470329233,NA,0.7944683759359266,NA,NA,0.10752656054300332,-0.6518388281628525,NA,NA,NA,NA
HR,-0.7409480835930035,0.12697694999694492,0.0031636401703878663,NA,NA,NA,-0.09055236194644282,NA,NA,-0.10423183442875536,NA,NA,NA,NA,NA
HU,0.15886027148877613,0.2335911710196523,0.002178435068074845,-0.7445721237049487,NA,NA,-0.7527736052979498,NA,NA,NA,NA,NA,NA,NA,NA
IE,-1.0930790882960268,0.22427554533769448,0.125070774290641,0.7393445524246758,NA,NA,-0.32948325893303587,NA,NA,NA,0.6717993366209353,NA,NA,NA,NA
IT,0.05557224844895428,-0.8072333835155506,0.009073650013563715,0.06183845868042054,0.8181668556149224,NA,-0.7089997455133215,NA,NA,0.6095515471069178,0.2509722332747967,0.14169564605265894,-0.1955989283485241,NA,NA
LT,0.5852633133852476,NA,0.0031479863746866296,-0.20732629948271658,0.3115515337359451,0.146254101964518,NA,NA,NA,NA,NA,NA,NA,0.1553582231131788,0.20059056175302997
LU,0.038978972296969144,NA,0.007949502321716689,NA,NA,NA,0.20827146141806166,0.01586127855492023,NA,NA,0.2634680777548151,NA,NA,NA,NA
LV,-0.9589298808874931,0.2657135024383276,0.0052925602889381425,0.3064031026362551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,NA,NA,0.006104090708762297,NA,NA,NA,NA,0.011224678003195845,NA,NA,NA,NA,NA,NA,NA
NL,-0.1140096602681372,NA,0.0053374267188725354,-0.41549469250950877,NA,NA,-0.6304280777580291,NA,NA,NA,NA,NA,NA,NA,NA
PL,-1.3183256044083986,0.27126674583015026,0.0016158780798991592,0.6919492193240748,NA,NA,0.3621034403330662,NA,NA,NA,NA,NA,NA,NA,NA
PT,-0.69800601948539,0.19318372794159352,0.007458605691281742,0.8546990600182046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RO,-0.6975503252499502,NA,0.002150136029634188,-0.15928896333110704,0.04401859317636952,-0.21065861675643435,NA,NA,NA,NA,NA,NA,NA,NA,NA
SI,-0.9692975156411751,NA,0.001239160382597908,0.3733839395747615,0.11266218281539395,0.16003434065489744,NA,NA,0.4387867023907095,NA,NA,NA,NA,NA,NA
SK,-0.7571857828197746,0.7143919248332962,0.01940255271630366,NA,NA,NA,-0.21357326120483938,NA,NA,0.3926767799651761,NA,NA,NA,NA,NA
