geo,drift,sigma,ma1,ar1
AT,0.15596106843498275,0.010186550540253837,NA,NA
BE,0.14688886013177677,0.02468996660598669,NA,NA
CY,0.16842436801263205,0.03584918335391277,NA,NA
CZ,0.14267779133280767,0.0215021809534985,NA,NA
DK,0.1590725484708998,0.018260437479361517,NA,NA
EL,0.145574880373189,0.04476397950123229,0.699923075771137,NA
ES,0.1459363567543627,0.014037829553886737,NA,NA
FI,0.1625364574317227,0.024686617728501753,NA,NA
FR,0.1499535630479149,0.020394522889146185,NA,NA
HR,0.15008384298572247,0.01636708994320417,NA,NA
IT,0.15561936411201155,0.03749186501731086,NA,NA
LT,0.1513755756085224,0.013547069776990495,NA,NA
LU,0.1688124707165735,0.04032889245799975,NA,-0.5053411577379386
LV,NA,0.016197589948457016,NA,-0.5663518974991018
MT,0.12673013187806595,0.03442216075833435,NA,NA
NL,0.1655363529449813,0.014797487738598939,NA,NA
PL,0.15561670300271732,0.017564136697797172,NA,NA
PT,0.13502812057360836,0.04730956246203949,NA,NA
RO,0.15907815591790675,0.03319228832796956,NA,NA
SE,0.1634713161635887,0.02451875257238415,-0.575849289694182,NA
SI,0.15534653457135275,0.01812317543208806,NA,NA
SK,0.15226552193532222,0.06685939090866899,NA,NA
