geo,bic,rmse,mae,acf
AT,265.64082797226257,0.372123145860353,0.24546331770764188,0.0020802791727618872
BE,38.359491975135775,0.21702138730508772,0.13319889079567013,0.009446746385246759
CY,-137.05448921968983,0.1474819949947265,0.0953512390094486,-0.0012059273792167364
CZ,89.76709970409019,0.25035987591491055,0.13036936396581686,-0.010241897482612521
DE,70.89054827650882,0.2384223796483064,0.1533203637991631,-4.464908863104062e-4
DK,-219.88307006145308,0.12444187778009166,0.08253097687443052,-0.008039722495856771
EL,-141.43997508911588,0.14601062772915743,0.08865903055677914,-7.176061696839987e-4
ES,-100.97823638401921,0.1591227203721673,0.09512254658139563,0.014688332540725338
FI,191.3932357321623,0.31938505541089285,0.23299975063003117,-0.00394426618411484
FR,217.3660161358768,0.3433897272848114,0.2138862737848624,-0.0019143753199929814
HR,-145.15173492185437,0.14618868586671496,0.08379440001684131,0.007172247825150506
HU,-81.21208697303193,0.17095224234818537,0.11191310611296844,0.058834027476727224
IT,-230.9397809714483,0.1175225914518712,0.07714956071690865,-0.011158790961060226
LT,-117.44736750149994,0.15919662677026286,0.10140506135922536,0.027043170760336972
LU,-71.60260806943931,0.17575166835273548,0.1051608596918684,0.02020166510259191
LV,-28.760400348671887,0.19526560090150116,0.13341014536865908,0.0028893815281717835
MT,114.93518692506547,0.2579809956091538,0.16896399358964792,0.007152618433251158
NL,46.68976444895879,0.2223549941248081,0.14729026156435204,0.010234505166700632
PL,-144.99088279147784,0.14631904613116478,0.08848727226361666,0.001818327945095981
PT,-47.198693306141124,0.17949604043329756,0.11251160364265302,0.009040080212298206
RO,-104.05186286603843,0.16249293569309073,0.10960992541064869,-0.008869420733379967
SE,-214.27917673020488,0.12217239836706607,0.07789754093918189,0.04235917664197327
SI,-36.186313295082115,0.19138356485083466,0.12962507014646166,-0.01316843614945758
SK,210.85414630926257,0.34021226517969877,0.2468371167223333,0.00582344814750416
