country_code,rmse_min,rmse_mean,transform
AT,2039464.1864673684,2039464.1864673684,sqrt
BE,390313.43479427736,390313.43479427736,sqrt
CY,257527.40419719534,257527.40419719534,std
CZ,481123.1588855214,481123.1588855214,std
DE,3378722.1006140127,3378722.1006140127,std
DK,491950.5945432478,491950.5945432478,std
ES,4085847.65713574,4085847.65713574,sqrt
FI,243460.79157320404,243460.79157320404,std
FR,3866650.303723017,3866650.303723017,std
GR,1948518.3202184807,1948518.3202184807,std
HR,1264775.7098237574,1264775.7098237574,sqrt
HU,277448.0705741838,277448.0705741838,std
IT,3205508.5557391895,3205508.5557391895,sqrt
LT,60274.46114032178,60274.46114032178,sqrt
LU,32558.949377002267,32558.949377002267,sqrt
LV,43966.56645001618,43966.56645001618,std
MT,88869.42298079116,88869.42298079116,std
NL,1050671.117177572,1050671.117177572,sqrt
PL,735192.6791233836,735192.6791233836,sqrt
PT,876399.4453558482,876399.4453558482,std
RO,251251.25566563493,251251.25566563493,sqrt
SE,523673.4472826941,523673.4472826941,sqrt
SI,212684.93589561826,212684.93589561826,sqrt
SK,145039.60169373674,145039.60169373674,std
